Project,Suite,Section,Subsection,Title,Precondition,Status,Reference,Action,Expected result,,Custom field 1
Testes com IA,Happy path,Gestão de fotos e cenas,Selecionar fotos,Habilitar ações de mover e duplicar com foto ativa selecionada,"Usuário aprovador autenticado. Função Selecionar fotos habilitada. Questionário com pelo menos 1 foto ativa.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário está na seção Gestão de fotos e cenas com Selecionar fotos habilitado, Quando seleciona pelo menos uma foto ativa","Então as ações de mover e duplicar ficam habilitadas no dialog",,Alta
Testes com IA,Cenário negativo,Gestão de fotos e cenas,Selecionar fotos,Não habilitar mover e duplicar sem seleção de foto ativa,"Usuário aprovador autenticado. Função Selecionar fotos habilitada. Questionário sem foto ativa selecionada.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário está na seção Gestão de fotos e cenas com Selecionar fotos habilitado, Quando não seleciona nenhuma foto ativa","Então as ações de mover e duplicar permanecem desabilitadas",,Alta
Testes com IA,Cenário negativo,Gestão de fotos e cenas,Selecionar fotos,Não considerar fotos excluídas para habilitar mover e duplicar,"Usuário aprovador autenticado. Função Selecionar fotos habilitada. Apenas fotos excluídas selecionadas.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário selecionou apenas fotos com estado excluída, Quando abre o dialog de ação","Então as ações de mover e duplicar permanecem desabilitadas",,Alta
Testes com IA,Cenário negativo,Gestão de fotos e cenas,Selecionar fotos,Não exibir função mover/duplicar quando Selecionar fotos estiver desabilitada,"Usuário aprovador autenticado. Função Selecionar fotos desabilitada no contexto atual.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário está na seção Gestão de fotos e cenas com Selecionar fotos desabilitado, Quando tenta acessar a funcionalidade de mover ou duplicar fotos","Então o sistema não disponibiliza o fluxo de mover/duplicar",,Alta
Testes com IA,Happy path,Gestão de fotos e cenas,Dialog,Listar somente perguntas e respostas elegíveis e visíveis no dialog,"Usuário aprovador autenticado. Questionário com perguntas/respostas visíveis e ocultas.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário abre o dialog de mover ou duplicar fotos, Quando visualiza a listagem de destino","Então o dialog exibe apenas perguntas e respostas elegíveis que estejam visíveis no questionário",,Alta
Testes com IA,Happy path,Gestão de fotos e cenas,Dialog,Exibir áreas de investigação no padrão letra enunciado e id,"Usuário aprovador autenticado. Existem áreas de investigação vinculadas aos itens elegíveis.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário abre o dialog de mover ou duplicar, Quando expande a listagem de áreas","Então cada área é exibida com letra de ordem, enunciado e id no padrão do projeto atual",,Média
Testes com IA,Happy path,Gestão de fotos e cenas,Dialog,Exibir perguntas elegíveis com posição enunciado e id,"Usuário aprovador autenticado. Existem perguntas elegíveis visíveis no questionário.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário abre o dialog de mover ou duplicar, Quando visualiza as perguntas elegíveis","Então cada pergunta é exibida com número de posição no questionário, enunciado e id",,Média
Testes com IA,Happy path,Gestão de fotos e cenas,Dialog,Exibir respostas elegíveis com posição descrição e id,"Usuário aprovador autenticado. Existem respostas elegíveis visíveis no questionário.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário abre o dialog de mover ou duplicar, Quando visualiza as respostas elegíveis","Então cada resposta é exibida com número da posição da pergunta, descrição da resposta e id",,Média
Testes com IA,Happy path,Gestão de fotos e cenas,Dialog,Atualizar contador de perguntas e respostas selecionadas,"Usuário aprovador autenticado. Dialog aberto com itens elegíveis.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário abriu o dialog de mover ou duplicar, Quando seleciona 2 perguntas e 1 resposta de destino","Então o contador exibe corretamente a quantidade de perguntas e respostas selecionadas",,Alta
Testes com IA,Fluxo alternativo,Gestão de fotos e cenas,Dialog em cascata,Exibir dialog em cascata omitindo nível inexistente,"Usuário aprovador autenticado. Contexto com ausência de um dos níveis (área, pergunta ou resposta).",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o dialog em cascata é aberto em um contexto sem um dos níveis de exibição, Quando o usuário navega pela estrutura","Então o nível inexistente não é exibido e os níveis disponíveis permanecem navegáveis",,Alta
Testes com IA,Happy path,Gestão de fotos e cenas,Busca,Buscar por descrição com proximidade de palavras,"Usuário aprovador autenticado. Dialog aberto com múltiplas perguntas e respostas elegíveis.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário está com o dialog aberto, Quando digita termos aproximados da descrição de uma pergunta ou resposta no campo de busca","Então o sistema retorna itens correspondentes por proximidade de palavras",,Alta
Testes com IA,Happy path,Gestão de fotos e cenas,Busca,Buscar por id de pergunta ou resposta,"Usuário aprovador autenticado. Dialog aberto com itens elegíveis contendo ids conhecidos.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário está com o dialog aberto, Quando digita o id exato de uma pergunta ou resposta no campo de busca","Então o sistema filtra e exibe o item correspondente ao id informado",,Alta
Testes com IA,Cenário negativo,Gestão de fotos e cenas,Busca,Nenhum resultado para termo inexistente no campo de busca,"Usuário aprovador autenticado. Dialog aberto com itens elegíveis.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário está com o dialog aberto, Quando digita um termo que não corresponde a nenhuma descrição ou id","Então o sistema não retorna itens na listagem filtrada",,Média
Testes com IA,Happy path,Gestão de fotos e cenas,Mover fotos,Mover N fotos para pergunta de destino removendo da fonte,"Usuário aprovador autenticado. Selecionar fotos habilitado. 3 fotos ativas selecionadas em uma pergunta fonte. Pergunta de destino elegível selecionada.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário selecionou 3 fotos ativas na pergunta fonte e escolheu uma pergunta de destino, Quando clica no botão Mover","Então o sistema move as 3 fotos para a pergunta de destino",,Alta
,,,,,,,,"Quando verifica a pergunta fonte após a operação","Então as 3 fotos movidas não permanecem na pergunta fonte",,
,,,,,,,,"Quando verifica a pergunta de destino","Então as 3 fotos passam a existir na pergunta de destino como novos vínculos",,
,,,,,,,,"Quando verifica o feedback do sistema","Então é exibida a mensagem de sucesso de mover fotos",,
Testes com IA,Happy path,Gestão de fotos e cenas,Mover fotos,Mover N fotos para resposta de destino removendo da fonte,"Usuário aprovador autenticado. Selecionar fotos habilitado. 2 fotos ativas selecionadas em uma pergunta fonte. Resposta de destino elegível selecionada.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário selecionou 2 fotos ativas na pergunta fonte e escolheu uma resposta de destino, Quando clica no botão Mover","Então o sistema move as 2 fotos para a resposta de destino",,Alta
,,,,,,,,"Quando verifica a origem das fotos","Então as fotos movidas deixam de existir no vínculo da pergunta fonte",,
,,,,,,,,"Quando verifica o destino","Então as fotos são exibidas no vínculo da resposta de destino",,
Testes com IA,Happy path,Gestão de fotos e cenas,Duplicar fotos,Duplicar N fotos para pergunta de destino mantendo originais,"Usuário aprovador autenticado. Selecionar fotos habilitado. 3 fotos ativas selecionadas em uma pergunta fonte. Pergunta de destino elegível selecionada.",Ready for testing,http://clickup.com/t/86ag4u8n7,"Dado que o usuário selecionou 3 fotos ativas na pergunta fonte e escolheu uma pergunta de destino, Quando clica no botão Duplicar","Então o sistema cria cópias das 3 fotos na pergunta de destino",,Alta
,,,,,,,,"Quando verifica a pergunta fonte","Então as 3 fotos originais permanecem vinculadas à pergunta fonte",,
,,,,,,,,"Quando verifica o feedback do sistema","Então é exibida a mensagem de sucesso de duplicar fotos",,
